gene,gene_ID,pathway,dose,type_of_radiation,tissue_cell_line,time_after_irradiation
SOST,50964,Wnt signaling pathway,8 Gy,X-rays,pancreatic cancer cell line,4 h
SERPINF1,5176,Wnt signaling pathway,9 Gy,protons,breast adenocarcinoma cells,24 h
MYH10,4628,,2 Gy,X-rays,prostate cancer cell line,8 h
APOBEC3H,164668,,5 Gy,γ-rays,T-lymphoid cell line,12 h
APOBEC3H,164668,,5 Gy,γ-rays,T-lymphoid cell line,24 h
APOBEC3H,164668,,5 Gy,γ-rays,T-lymphoid cell line,48 h
APOBEC3H,164668,,5 Gy,γ-rays,T-lymphoid cell line,6 h
APOBEC3H,164668,,9 Gy,protons,breast adenocarcinoma cells,24 h
APOBEC3G,60489,,9 Gy,protons,TNBC cell line,24 h
APOBEC3C,27350,,5 Gy,γ-rays,T-lymphoid cell line,12 h
APOBEC3C,27350,,5 Gy,γ-rays,T-lymphoid cell line,24 h
APOBEC3C,27350,,5 Gy,γ-rays,T-lymphoid cell line,48 h
APOBEC3C,27350,,5 Gy,γ-rays,T-lymphoid cell line,6 h
ACTG2,72,,5 Gy,γ-rays,T-lymphoid cell line,12 h
ACTG2,72,,5 Gy,γ-rays,T-lymphoid cell line,24 h
ACTG2,72,,5 Gy,γ-rays,T-lymphoid cell line,3 h
ACTG2,72,,5 Gy,γ-rays,T-lymphoid cell line,48 h
ACTG2,72,,5 Gy,γ-rays,T-lymphoid cell line,6 h
ACTA2,59,,5 Gy,γ-rays,T-lymphoid cell line,12 h
ACTA2,59,,5 Gy,γ-rays,T-lymphoid cell line,24 h
ACTA2,59,,5 Gy,γ-rays,T-lymphoid cell line,48 h
ACTA2,59,,5 Gy,γ-rays,T-lymphoid cell line,6 h
ACTA2,59,,9 Gy,protons,breast adenocarcinoma cells,24 h
CHST9,83539,,9 Gy,protons,TNBC cell line,24 h
SSX4B,548313,,9 Gy,protons,TNBC cell line,24 h
BAIAP3,8938,,9 Gy,protons,TNBC cell line,24 h
NR4A3,8013,,8 Gy,X-rays,pancreatic cancer cell line,4 h
TLR9,54106,Toll-like receptor signaling pathway,9 Gy,protons,breast adenocarcinoma cells,24 h
CTTN,2017,,5 Gy,γ-rays,T-lymphoid cell line,12 h
CTTN,2017,,5 Gy,γ-rays,T-lymphoid cell line,24 h
CTTN,2017,,5 Gy,γ-rays,T-lymphoid cell line,3 h
CTTN,2017,,5 Gy,γ-rays,T-lymphoid cell line,48 h
CTTN,2017,,5 Gy,γ-rays,T-lymphoid cell line,6 h
DUOX2,50506,,9 Gy,protons,breast adenocarcinoma cells,24 h
ALPP,250,,5 Gy,γ-rays,T-lymphoid cell line,12 h
ALPP,250,,5 Gy,γ-rays,T-lymphoid cell line,24 h
ALPP,250,,5 Gy,γ-rays,T-lymphoid cell line,3 h
ALPP,250,,5 Gy,γ-rays,T-lymphoid cell line,48 h
ALPP,250,,5 Gy,γ-rays,T-lymphoid cell line,6 h
RUNX3,864,,5 Gy,γ-rays,T-lymphoid cell line,12 h
RUNX3,864,,5 Gy,γ-rays,T-lymphoid cell line,24 h
RUNX3,864,,5 Gy,γ-rays,T-lymphoid cell line,3 h
RUNX3,864,,5 Gy,γ-rays,T-lymphoid cell line,48 h
RUNX3,864,,5 Gy,γ-rays,T-lymphoid cell line,6 h
ID2,3398,TGF-beta signaling pathway,9 Gy,protons,TNBC cell line,24 h
FNTA,2339,,9 Gy,protons,TNBC cell line,24 h
TAS2R10,50839,,5 Gy,γ-rays,T-lymphoid cell line,12 h
TAS2R10,50839,,5 Gy,γ-rays,T-lymphoid cell line,24 h
TAS2R10,50839,,5 Gy,γ-rays,T-lymphoid cell line,48 h
TAS2R10,50839,,5 Gy,γ-rays,T-lymphoid cell line,6 h
SRSF4,6429,,9 Gy,protons,TNBC cell line,24 h
HSPA6,3310,,8 Gy,X-rays,pancreatic cancer cell line,4 h
BEAN1,146227,,9 Gy,protons,breast adenocarcinoma cells,24 h
SPTLC1,10558,,5 Gy,γ-rays,T-lymphoid cell line,12 h
SPTLC1,10558,,5 Gy,γ-rays,T-lymphoid cell line,24 h
SPTLC1,10558,,5 Gy,γ-rays,T-lymphoid cell line,3 h
SPTLC1,10558,,5 Gy,γ-rays,T-lymphoid cell line,48 h
SPTLC1,10558,,5 Gy,γ-rays,T-lymphoid cell line,6 h
STX11,8676,,9 Gy,protons,TNBC cell line,24 h
PAX6,5080,Signaling pathways regulating pluripotency of stem cells,9 Gy,protons,TNBC cell line,24 h
POLR3B,55703,,5 Gy,γ-rays,T-lymphoid cell line,12 h
POLR3B,55703,,5 Gy,γ-rays,T-lymphoid cell line,24 h
POLR3B,55703,,5 Gy,γ-rays,T-lymphoid cell line,3 h
POLR3B,55703,,5 Gy,γ-rays,T-lymphoid cell line,48 h
POLR3B,55703,,5 Gy,γ-rays,T-lymphoid cell line,6 h
TOB1,10140,,5 Gy,γ-rays,T-lymphoid cell line,12 h
TOB1,10140,,5 Gy,γ-rays,T-lymphoid cell line,24 h
TOB1,10140,,5 Gy,γ-rays,T-lymphoid cell line,3 h
TOB1,10140,,5 Gy,γ-rays,T-lymphoid cell line,48 h
TOB1,10140,,5 Gy,γ-rays,T-lymphoid cell line,6 h
BTG2,7832,,5 Gy,γ-rays,T-lymphoid cell line,12 h
BTG2,7832,,5 Gy,γ-rays,T-lymphoid cell line,24 h
BTG2,7832,,5 Gy,γ-rays,T-lymphoid cell line,48 h
BTG2,7832,,5 Gy,γ-rays,T-lymphoid cell line,6 h
FBLL1,345630,,9 Gy,protons,breast adenocarcinoma cells,24 h
RETSAT,54884,,5 Gy,γ-rays,T-lymphoid cell line,12 h
RETSAT,54884,,5 Gy,γ-rays,T-lymphoid cell line,24 h
RETSAT,54884,,5 Gy,γ-rays,T-lymphoid cell line,3 h
RETSAT,54884,,5 Gy,γ-rays,T-lymphoid cell line,48 h
RETSAT,54884,,5 Gy,γ-rays,T-lymphoid cell line,6 h
ARHGEF7,8874,,9 Gy,protons,TNBC cell line,24 h
TBK1,29110,Ras signaling pathway,5 Gy,γ-rays,T-lymphoid cell line,12 h
TBK1,29110,Ras signaling pathway,5 Gy,γ-rays,T-lymphoid cell line,24 h
TBK1,29110,Ras signaling pathway,5 Gy,γ-rays,T-lymphoid cell line,48 h
TBK1,29110,Ras signaling pathway,5 Gy,γ-rays,T-lymphoid cell line,6 h
RGL1,23179,Ras signaling pathway,5 Gy,γ-rays,T-lymphoid cell line,12 h
RGL1,23179,Ras signaling pathway,5 Gy,γ-rays,T-lymphoid cell line,24 h
RGL1,23179,Ras signaling pathway,5 Gy,γ-rays,T-lymphoid cell line,3 h
RGL1,23179,Ras signaling pathway,5 Gy,γ-rays,T-lymphoid cell line,48 h
RGL1,23179,Ras signaling pathway,5 Gy,γ-rays,T-lymphoid cell line,6 h
GAB2,9846,Ras signaling pathway,2 Gy,X-rays,prostate cancer cell line,8 h
SIPA1L2,57568,Rap1 signaling pathway,5 Gy,γ-rays,T-lymphoid cell line,12 h
SIPA1L2,57568,Rap1 signaling pathway,5 Gy,γ-rays,T-lymphoid cell line,24 h
SIPA1L2,57568,Rap1 signaling pathway,5 Gy,γ-rays,T-lymphoid cell line,48 h
LPAR3,23566,Rap1 signaling pathway,9 Gy,protons,TNBC cell line,24 h
GNAO1,2775,Rap1 signaling pathway,9 Gy,protons,breast adenocarcinoma cells,24 h
DPYS,1807,,5 Gy,γ-rays,T-lymphoid cell line,12 h
DPYS,1807,,5 Gy,γ-rays,T-lymphoid cell line,24 h
DPYS,1807,,5 Gy,γ-rays,T-lymphoid cell line,3 h
DPYS,1807,,5 Gy,γ-rays,T-lymphoid cell line,48 h
DPYS,1807,,5 Gy,γ-rays,T-lymphoid cell line,6 h
PDE4D,5144,,5 Gy,γ-rays,T-lymphoid cell line,12 h
PDE4D,5144,,5 Gy,γ-rays,T-lymphoid cell line,24 h
PDE4D,5144,,5 Gy,γ-rays,T-lymphoid cell line,48 h
