Pinyin_h,Chinese_h,English_h,Latin_h,CID
A BI XI NI YA NIU JIN GUO,阿比西尼亚牛筋果,Abyssinia harrisonia*,Harrisonia abyssinica,441968
ACICULAR THOROWAX,,,"Bupleurum bicaule, zhui ye chai hu",137705034
AN I JIN,安乃近,Algin,Alginum,3114
AN YOU,按油,Eucalyptus oil,Oleum eucalypti,54690394
AN YOU,按油,Eucalyptus oil,Oleum eucalypti,54670067
AN YOU,按油,Eucalyptus oil,Oleum eucalypti,937
AO MAI DING GONG TENG,凹脉丁公藤,Elliptical erycibe,Erycibe elliptilimba,100068262
AO MAI DING GONG TENG,凹脉丁公藤,Elliptical erycibe,Erycibe elliptilimba,100005099
AO MAI DING GONG TENG,凹脉丁公藤,Elliptical erycibe,Erycibe elliptilimba,122118
AO MAI DING GONG TENG,凹脉丁公藤,Elliptical erycibe,Erycibe elliptilimba,8784
AO MAI DING GONG TENG,凹脉丁公藤,Elliptical erycibe,Erycibe elliptilimba,931
AO MAI DING GONG TENG,凹脉丁公藤,Elliptical erycibe,Erycibe elliptilimba,5280863
AO MAI DING GONG TENG,凹脉丁公藤,Elliptical erycibe,Erycibe elliptilimba,1217
AO MAI DING GONG TENG,凹脉丁公藤,Elliptical erycibe,Erycibe elliptilimba,68245
AO MAI DING GONG TENG,凹脉丁公藤,Elliptical erycibe,Erycibe elliptilimba,8181
AO MAI DING GONG TENG,凹脉丁公藤,Elliptical erycibe,Erycibe elliptilimba,7149
AO MAI DING GONG TENG,凹脉丁公藤,Elliptical erycibe,Erycibe elliptilimba,14005
AO MAI DING GONG TENG,凹脉丁公藤,Elliptical erycibe,Erycibe elliptilimba,86011
AO MAI DING GONG TENG,凹脉丁公藤,Elliptical erycibe,Erycibe elliptilimba,5099
BA DOU,巴豆,Pu rging croton,Croton tiglium,476549
BA DOU,巴豆,Pu rging croton,Croton tiglium,124027
BA DOU,巴豆,Pu rging croton,Croton tiglium,6451045
BA DOU,巴豆,Pu rging croton,Croton tiglium,476547
BA DOU,巴豆,Pu rging croton,Croton tiglium,6451046
BA DOU,巴豆,Pu rging croton,Croton tiglium,6451043
BA DOU,巴豆,Pu rging croton,Croton tiglium,6451044
BA DOU,巴豆,Pu rging croton,Croton tiglium,5318035
BA DOU,巴豆,Pu rging croton,Croton tiglium,145857
BA DOU,巴豆,Pu rging croton,Croton tiglium,5461017
BA DOU,巴豆,Pu rging croton,Croton tiglium,10467
BA DOU,巴豆,Pu rging croton,Croton tiglium,637090
BA DOU,巴豆,Pu rging croton,Croton tiglium,7073848
BA DOU,巴豆,Pu rging croton,Croton tiglium,65085
BA DOU,巴豆,Pu rging croton,Croton tiglium,5316141
BA DOU,巴豆,Pu rging croton,Croton tiglium,636741
BA DOU,巴豆,Pu rging croton,Croton tiglium,520159
BA DOU,巴豆,Pu rging croton,Croton tiglium,410436
BA DOU,巴豆,Pu rging croton,Croton tiglium,8194
BA DOU,巴豆,Pu rging croton,Croton tiglium,3893
BA DOU,巴豆,Pu rging croton,Croton tiglium,5280934
BA DOU,巴豆,Pu rging croton,Croton tiglium,44134803
BA DOU,巴豆,Pu rging croton,Croton tiglium,23440040
BA DOU,巴豆,Pu rging croton,Croton tiglium,4276
BA DOU,巴豆,Pu rging croton,Croton tiglium,46926173
BA DOU,巴豆,Pu rging croton,Croton tiglium,24832117
BA DOU,巴豆,Pu rging croton,Croton tiglium,5281391
BA DOU,巴豆,Pu rging croton,Croton tiglium,37783
BA DOU,巴豆,Pu rging croton,Croton tiglium,500522
BA DOU,巴豆,Pu rging croton,Croton tiglium,72294
BA DOU,巴豆,Pu rging croton,Croton tiglium,71586739
BA DOU,巴豆,Pu rging croton,Croton tiglium,9894037
BA DOU,巴豆,Pu rging croton,Croton tiglium,44269646
BA DOU,巴豆,Pu rging croton,Croton tiglium,119080
BA DOU,巴豆,Pu rging croton,Croton tiglium,24837273
BA DOU,巴豆,Pu rging croton,Croton tiglium,24837274
BA DOU,巴豆,Pu rging croton,Croton tiglium,27924
BA DOU,巴豆,Pu rging croton,Croton tiglium,5320534
BA DOU,巴豆,Pu rging croton,Croton tiglium,5281
BA DOU,巴豆,Pu rging croton,Croton tiglium,11146
BA DOU,巴豆,Pu rging croton,Croton tiglium,6971144
BA DOU,巴豆,Pu rging croton,Croton tiglium,125468
BA DOU,巴豆,Pu rging croton,Croton tiglium,6540490
BA DOU,巴豆,Pu rging croton,Croton tiglium,222284
BA DOU,巴豆,Pu rging croton,Croton tiglium,126726
BA DOU,巴豆,Pu rging croton,Croton tiglium,132521
BA DOU,巴豆,Pu rging croton,Croton tiglium,44445519
BA DOU,巴豆,Pu rging croton,Croton tiglium,11473265
